"id","genericform"
107901,"Bottle"
113058,"Inkwell"
115126,"Cup Decorated"
117509,"Bowl Decorated"
127029,"Cylinder Decorated"
132166,"Modiolus"
139864,"Jar"
163272,"Kiln equipment"
169715,"Poinçon"
170645,"Pyxis"
174619,"Dish"
179407,"Bowl Flanged"
193689,"Chalice"
201167,"Unknown"
203267,"Patera"
207560,"Beaker Decorated"
208844,"Lagène"
209365,"Beaker"
320733,"Bottle Decorated"
381941,"Platter"
437165,"Dish Rouletted"
442476,"Mortarium"
480718,"Platter base"
492739,"Rouletted"
551917,"Lid"
591889,"Cup"
662716,"Cup Rouletted"
729940,"Chalice Decorated"
776552,"Bowl"
777121,"Varia"
935796,"Decorated"
964607,"Flagon Decorated"
